quoteID	quoteText	subQuotationList	referringExpression
Q0	Pauvre Mlle Taylor ! Que n’est-elle encore avec nous ! Quel malheur que M. Weston ait pensé à elle !	['Pauvre Mlle Taylor !', 'Que n’est-elle encore avec nous !', 'Quel malheur que M. Weston ait pensé à elle !']	
Q1	Il m’est impossible, papa, de partager votre avis, M. Weston est un si aimable, si excellent homme qu’il méritait bien de trouver une femme accomplie ; et vous ne pouviez pas souhaiter que Mlle Taylor demeurât avec nous toute sa vie à supporter mes caprices alors qu’il lui était loisible de posséder une maison à elle ?	['Il m’est impossible, papa, de partager votre avis, M. Weston est un si aimable, si excellent homme qu’il méritait bien de trouver une femme accomplie ; et vous ne pouviez pas souhaiter que Mlle Taylor demeurât avec nous toute sa vie à supporter mes caprices alors qu’il lui était loisible de posséder une maison à elle ?']	
Q2	Une maison à elle ! Quel avantage y voyez-vous ? Celle-ci n’est-elle pas trois fois plus grande, et vous n’avez jamais de caprices, ma chère.	['Une maison à elle !', 'Quel avantage y voyez-vous ?', 'Celle-ci n’est-elle pas trois fois plus grande, et vous n’avez jamais de caprices, ma chère.']	
Q3	Nous irons les voir très souvent et de leur côté, ils viendront continuellement à Hartfield ; nous ne tarderons pas à leur faire la première visite.	['Nous irons les voir très souvent', 'de leur côté, ils viendront continuellement à Hartfield', 'nous ne tarderons pas à leur faire la première visite.']	
Q4	Ma chère, comment voulez-vous que j’arrive jusque-là ? Randalls est à une telle distance ! Je ne puis marcher si longtemps.	['Ma chère, comment voulez-vous que j’arrive jusque-là ?', 'Randalls est à une telle distance !', 'Je ne puis marcher si longtemps.']	
Q5	Aussi papa, n’est-il pas question que vous alliez à pied. Nous irons en voiture, naturellement.	['Aussi papa, n’est-il pas question que vous alliez à pied.', 'Nous irons en voiture, naturellement.']	
Q6	En voiture ! Mais James n’aimera pas atteler pour si peu ; et les pauvres chevaux, que deviendront-ils pendant que nous ferons notre visite ?	['En voiture !', 'Mais James n’aimera pas atteler pour si peu ;', 'et les pauvres chevaux, que deviendront-ils pendant que nous ferons notre visite ?']	
Q7	On les mettra dans l’écurie de M. Weston : c’est une affaire entendue. Quant à James vous pouvez être sûr qu’il sera toujours enchanté d’aller à Randalls où sa fille est femme de chambre. J’appréhende même qu’il ne consente plus désormais à nous conduire ailleurs ! C’est vous, papa, qui avez eu la pensée de proposer Anna pour cette bonne place.	['On les mettra dans l’écurie de M. Weston : c’est une affaire entendue.', 'Quant à James vous pouvez être sûr qu’il sera toujours enchanté d’aller à Randalls où sa fille est femme de chambre.', 'J’appréhende même qu’il ne consente plus désormais à nous conduire ailleurs !', 'C’est vous, papa, qui avez eu la pensée de proposer Anna pour cette bonne place.']	
Q8	James vous en est si reconnaissant ! Je suis sûr qu’elle deviendra une excellente domestique : c’est une fille polie, de bonnes manières ; chaque fois que je la rencontre elle me tire la révérence et me demande très gracieusement de mes nouvelles.	['James vous en est si reconnaissant !', 'Je suis sûr qu’elle deviendra une excellente domestique : c’est une fille polie, de bonnes manières ; chaque fois que je la rencontre elle me tire la révérence et me demande très gracieusement de mes nouvelles.']	
Q9	C’est bien aimable à vous, M. Knightley, d’être sorti à cette heure tardive pour nous faire une visite et d’avoir bravé l’obscurité et le froid.	['C’est bien aimable à vous, M. Knightley, d’être sorti à cette heure tardive pour nous faire une visite et d’avoir bravé l’obscurité et le froid.']	
