quoteID	quoteText	subQuotationList	referringExpression
Q0	Eh bien ! Harry, qui vous amène de si bonne heure ? Je croyais que vous autres dandies n’étiez jamais levés avant deux heures, et visibles avant cinq.	['Eh bien ! Harry,', 'qui vous amène de si bonne heure ?', 'Je croyais que vous autres dandies n’étiez jamais levés avant deux heures, et visibles avant cinq.']	dit le vieux gentleman
Q1	Pure affection familiale, je vous assure, oncle Georges, j’ai besoin de vous demander quelque chose.	['Pure affection familiale, je vous assure, oncle Georges, j’ai besoin de vous demander quelque chose.']	
Q2	De l’argent, je suppose, asseyez-vous et dites-moi de quoi il s’agit. Les jeunes gens, aujourd’hui, s’imaginent que l’argent est tout.	['De l’argent, je suppose,', 'asseyez-vous et dites-moi de quoi il s’agit.', 'Les jeunes gens, aujourd’hui, s’imaginent que l’argent est tout.']	dit lord Fermor en faisant la grimace
Q3	Oui, murmura lord Henry, en boutonnant son pardessus ; et quand ils deviennent vieux ils le savent, mais je n’ai pas besoin d’argent. Il n’y a que ceux qui paient leurs dettes qui en ont besoin, oncle Georges, et je ne paie jamais les miennes. Le crédit est le capital d’un jeune homme et on en vit d’une façon charmante. De plus, j’ai toujours affaire aux fournisseurs de Dartmoor et ils ne m’inquiètent jamais. J’ai besoin d’un renseignement, non pas d’un renseignement utile bien sûr, mais d’un renseignement inutile.	['Oui, murmura lord Henry, en boutonnant son pardessus ; et quand ils deviennent vieux ils le savent, mais je n’ai pas besoin d’argent.', 'Il n’y a que ceux qui paient leurs dettes qui en ont besoin, oncle Georges, et je ne paie jamais les miennes.', 'Le crédit est le capital d’un jeune homme et on en vit d’une façon charmante.', 'De plus, j’ai toujours affaire aux fournisseurs de Dartmoor et ils ne m’inquiètent jamais.', 'J’ai besoin d’un renseignement, non pas d’un renseignement utile bien sûr, mais d’un renseignement inutile.']	murmura lord Henry
Q4	Bien ! je puis vous dire tout ce que contient un Livre-Bleu anglais, Harry, quoique aujourd’hui tous ces gens-là n’écrivent que des bêtises. Quand j’étais diplomate, les choses allaient bien mieux. Mais j’ai entendu dire qu’on les choisissait aujourd’hui après des examens. Que voulez-vous ? Les examens, monsieur, sont une pure fumisterie d’un bout à l’autre. Si un homme est un gentleman, il en sait bien assez, et s’il n’est pas un gentleman, tout ce qu’il apprendra sera mauvais pour lui !	['Bien ! je puis vous dire tout ce que contient un Livre-Bleu anglais, Harry, quoique aujourd’hui tous ces gens-là n’écrivent que des bêtises.', 'Quand j’étais diplomate, les choses allaient bien mieux.', 'Mais j’ai entendu dire qu’on les choisissait aujourd’hui après des examens.', 'Que voulez-vous ?', 'Les examens, monsieur, sont une pure fumisterie d’un bout à l’autre.', 'Si un homme est un gentleman, il en sait bien assez, et s’il n’est pas un gentleman, tout ce qu’il apprendra sera mauvais pour lui !']	
Q5	M. Dorian Gray n’appartient pas au Livre-Bleu, oncle Georges.	['M. Dorian Gray n’appartient pas au Livre-Bleu, oncle Georges.']	dit lord Henry, languide
Q6	M. Dorian Gray ? Qui est-ce ?	['M. Dorian Gray ?', 'Qui est-ce ?']	demanda lord Fermor en fronçant ses sourcils blancs et broussailleux
Q7	Voilà ce que je viens apprendre, oncle Georges. Ou plutôt, je sais qui il est. C’est le dernier petit-fils de lord Kelso. Sa mère était une Devereux, Lady Margaret Devereux ; je voudrais que vous me parliez de sa mère. Comment était elle ? à qui fut-elle mariée ? Vous avez connu presque tout le monde dans votre temps, aussi pourriez-vous l’avoir connue. Je m’intéresse beaucoup à M. Gray en ce moment. Je viens seulement de faire sa connaissance.	['Voilà ce que je viens apprendre, oncle Georges.', 'Ou plutôt, je sais qui il est.', 'C’est le dernier petit-fils de lord Kelso.', 'Sa mère était une Devereux, Lady Margaret Devereux ; je voudrais que vous me parliez de sa mère.', 'Comment était elle ?', 'à qui fut-elle mariée ?', 'Vous avez connu presque tout le monde dans votre temps, aussi pourriez-vous l’avoir connue.', 'Je m’intéresse beaucoup à M. Gray en ce moment.', 'Je viens seulement de faire sa connaissance.']	
Q8	Le petit-fils de Kelso ! répéta le vieux gentleman. Le petit-fils de Kelso… bien sûr… j’ai connu intimement sa mère. Je crois bien que j’étais à son baptême. C’était une extraordinairement belle fille, cette Margaret Devereux. Elle affola tous les hommes en se sauvant avec un jeune garçon sans le sou, un rien du tout, monsieur, subalterne dans un régiment d’infanterie ou quelque chose de semblable. Certainement, je me rappelle la chose comme si elle était arrivée hier. Le pauvre diable fut tué en duel à Spa quelques mois après leur mariage. Il y eut une vilaine histoire là-dessus. On dit que Kelso soudoya un bas aventurier, quelque brute belge, pour insulter son beau-fils en public, il le paya, monsieur, oui il le paya pour faire cela et le misérable embrocha son homme comme un simple pigeon. L’affaire fut étouffée, mais, ma foi, Kelso mangeait sa côtelette tout seul au club quelque temps après. Il reprit sa fille avec lui, m’a-t-on dit, elle ne lui adressa jamais la parole. Oh oui ! ce fut une vilaine affaire. La fille mourut dans l’espace d’une année. Ainsi donc, elle a laissé un fils ? J’avais oublié cela. Quelle espèce de garçon est-ce ? S’il ressemble à sa mère ce doit être un bien beau gars.	['Le petit-fils de Kelso !', 'Le petit-fils de Kelso… bien sûr…', 'j’ai connu intimement sa mère.', 'Je crois bien que j’étais à son baptême.', 'C’était une extraordinairement belle fille, cette Margaret Devereux.', 'Elle affola tous les hommes en se sauvant avec un jeune garçon sans le sou, un rien du tout, monsieur, subalterne dans un régiment d’infanterie ou quelque chose de semblable.', 'Certainement, je me rappelle la chose comme si elle était arrivée hier.', 'Le pauvre diable fut tué en duel à Spa quelques mois après leur mariage.', 'Il y eut une vilaine histoire là-dessus.', 'On dit que Kelso soudoya un bas aventurier, quelque brute belge, pour insulter son beau-fils en public, il le paya, monsieur, oui il le paya pour faire cela et le misérable embrocha son homme comme un simple pigeon.', 'L’affaire fut étouffée, mais, ma foi, Kelso mangeait sa côtelette tout seul au club quelque temps après.', 'Il reprit sa fille avec lui, m’a-t-on dit, elle ne lui adressa jamais la parole.', 'Oh oui ! ce fut une vilaine affaire.', 'La fille mourut dans l’espace d’une année.', 'Ainsi donc, elle a laissé un fils ?', 'J’avais oublié cela.', 'Quelle espèce de garçon est-ce ?', 'S’il ressemble à sa mère ce doit être un bien beau gars.']	répéta le vieux gentleman
Q9	Il est très beau.	['Il est très beau.']	affirma lord Henry
