"quoteID","quoteText","subQuotationList","quoteByteSpans","speaker","addressees","quoteType","referringExpression","mentionTextsList","mentionSpansList","mentionEntitiesList"
"Q78","You must lend me these, Basil, I want to
learn them. They are perfectly charming.","['You must lend me these, Basil,', 'I want to\nlearn them. They are perfectly charming.']","[[29016, 29046], [29059, 29109]]","Dorian Gray","['Basil Hallward']","Anaphoric","he cried","[['You', 'Basil'], []]","[[[29016, 29019], [29040, 29045]], []]","[[['Basil Hallward'], ['Basil Hallward']], []]"
"Q79","That entirely depends on how you sit to-day, Dorian.","['That entirely depends on how you sit to-day, Dorian.']","[[29113, 29165]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Implicit","nan","[['you', 'Dorian']]","[[[29142, 29145], [29158, 29164]]]","[[['Dorian Gray'], ['Dorian Gray']]]"
"Q80","Oh, I am tired of sitting, and I don t want a life-sized portrait of
myself,","['Oh, I am tired of sitting, and I don t want a life-sized portrait of\nmyself,']","[[29169, 29245]]","Dorian Gray","['Basil Hallward']","Anaphoric","answered the lad","[[]]","[[]]","[[]]"
"Q81","I beg your
pardon, Basil, but I didn t know you had any one with you.","['I beg your\npardon, Basil, but I didn t know you had any one with you.']","[[29433, 29502]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Anaphoric","he started up","[['your', 'Basil', 'you', 'you']]","[[[29439, 29443], [29452, 29457], [29477, 29480], [29498, 29501]]]","[[['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward']]]"
"Q82","This is Lord Henry Wotton, Dorian, an old Oxford friend of mine. I
have just been telling him what a capital sitter you were, and now you
have spoiled everything.","['This is Lord Henry Wotton, Dorian, an old Oxford friend of mine. I\nhave just been telling him what a capital sitter you were, and now you\nhave spoiled everything.']","[[29506, 29668]]","Basil Hallward","['Dorian Gray', 'Lord Henry']","Implicit","nan","[['Lord Henry Wotton', 'Henry', 'Wotton', 'Dorian', 'an old Oxford friend of mine', 'him']]","[[[29514, 29531], [29519, 29524], [29525, 29531], [29533, 29539], [29541, 29569], [29596, 29599]]]","[[['Lord Henry'], ['Lord Henry'], ['Lord Henry'], ['Dorian Gray'], ['Henry'], ['Lord Henry']]]"
"Q83","You have not spoiled my pleasure in meeting you, Mr. Gray, My aunt has often
spoken to me about you. You are one of her favourites, and, I am
afraid, one of her victims also.","['You have not spoiled my pleasure in meeting you, Mr. Gray,', 'My aunt has often\nspoken to me about you. You are one of her favourites, and, I am\nafraid, one of her victims also.']","[[29672, 29730], [29791, 29906]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Explicit","said Lord Henry","[['You', 'you', 'Mr. Gray'], ['My aunt', 'you', 'You', 'her', 'her']]","[[[29672, 29675], [29716, 29719], [29721, 29729]], [[29791, 29798], [29828, 29831], [29833, 29836], [29848, 29851], [29889, 29892]]]","[[['Dorian Gray'], ['Dorian Gray'], ['Dorian Gray']], [['Lady Agatha'], ['Dorian Gray'], ['Dorian Gray'], ['Lady Agatha'], ['Lady Agatha']]]"
"Q84","I am in Lady Agatha s black books at present, I promised to go to a club in Whitechapel
with her last Tuesday, and I really forgot all about it. We were to
have played a duet together three duets, I believe. I don t know what
she will say to me. I am far too frightened to call.","['I am in Lady Agatha s black books at present,', 'I promised to go to a club in Whitechapel\nwith her last Tuesday, and I really forgot all about it. We were to\nhave played a duet together three duets, I believe. I don t know what\nshe will say to me. I am far too frightened to call.']","[[29910, 29955], [30006, 30238]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Explicit","answered Dorian","[['Lady Agatha'], ['her', 'We', 'she']]","[[[29918, 29929]], [[30053, 30056], [30105, 30107], [30186, 30189]]]","[[['Lady Agatha']], [['Lady Agatha'], ['Dorian Gray', 'Lady Agatha'], ['Lady Agatha']]]"
"Q85","Oh, I will make your peace with my aunt. She is quite devoted to you.
And I don t think it really matters about your not being there. The
audience probably thought it was a duet. When Aunt Agatha sits down to
the piano, she makes quite enough noise for two people.","['Oh, I will make your peace with my aunt. She is quite devoted to you.\nAnd I don t think it really matters about your not being there. The\naudience probably thought it was a duet. When Aunt Agatha sits down to\nthe piano, she makes quite enough noise for two people.']","[[30242, 30506]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Implicit","nan","[['your', 'my aunt', 'She', 'you', 'your', 'Aunt Agatha', 'she']]","[[[30258, 30262], [30274, 30281], [30283, 30286], [30307, 30310], [30354, 30358], [30426, 30437], [30462, 30465]]]","[[['Dorian Gray'], ['Lady Agatha'], ['Lady Agatha'], ['Dorian Gray'], ['Dorian Gray'], ['Lady Agatha'], ['Lady Agatha']]]"
"Q86","That is very horrid to her, and not very nice to me,","['That is very horrid to her, and not very nice to me,']","[[30510, 30562]]","Dorian Gray","['Basil Hallward', 'Lord Henry']","Explicit","answered Dorian","[['her']]","[[[30533, 30536]]]","[[['Lady Agatha']]]"
"Q87","You are too charming to go in for philanthropy, Mr. Gray far too
charming.","['You are too charming to go in for philanthropy, Mr. Gray far too\ncharming.']","[[30987, 31061]]","Lord Henry","['Dorian Gray', 'Basil Hallward']","Implicit","nan","[['You', 'Mr. Gray']]","[[[30987, 30990], [31035, 31043]]]","[[['Dorian Gray'], ['Dorian Gray']]]"
